Localización;Nacionalidad;Fecha;Ambos;Hombres;Mujeres
España;Laos;31/12/2020;0;0;0
España;Lesoto;31/12/2020;0;0;0
España;Líbano;31/12/2020;296;178;118
España;Liberia;31/12/2020;3;2;1
España;Libia;31/12/2020;63;42;21
España;Macedonia;31/12/2020;21;6;15
España;Madagascar;31/12/2020;3;1;2
España;Malasia;31/12/2020;36;16;20
España;Malaui;31/12/2020;4;3;1
España;Maldivas;31/12/2020;11;9;2
España;Mali;31/12/2020;18;10;8
España;Marruecos;31/12/2020;2665;1389;1276
España;Mauricio;31/12/2020;5;2;3
España;Mauritania;31/12/2020;21;19;2
España;México;31/12/2020;1366;582;784
España;Micronesia;31/12/2020;0;0;0
España;Moldavia;31/12/2020;4;2;2
España;Mónaco;31/12/2020;2;0;2
España;Mongolia;31/12/2020;1;1;0
España;Montenegro;31/12/2020;13;6;7
España;Mozambique;31/12/2020;20;14;6
España;Myanmar;31/12/2020;7;4;3
España;Namibia;31/12/2020;6;2;4
España;Nepal;31/12/2020;33;18;15
España;Nicaragua;31/12/2020;132;68;64
España;Níger;31/12/2020;1;1;0
España;Nigeria;31/12/2020;82;58;24
España;Nueva Zelanda;31/12/2020;16;7;9
España;Oceanía (No consta país);31/12/2020;0;0;0
España;Omán;31/12/2020;27;24;3
España;Pakistán;31/12/2020;71;51;20
España;Palestina;31/12/2020;34;24;10
España;Panamá;31/12/2020;271;112;159
España;Papúa Nueva Guinea;31/12/2020;0;0;0
España;Paraguay;31/12/2020;115;52;63
España;Perú;31/12/2020;1525;646;879
España;Qatar;31/12/2020;8;8;0
España;Reino Unido;31/12/2020;8;2;6
España;Rep. Centroafricana;31/12/2020;3;3;0
España;Rep. Dem. del Congo;31/12/2020;43;33;10
España;República Dominicana;31/12/2020;508;181;327
España;Ruanda;31/12/2020;4;1;3
España;Rusia;31/12/2020;1463;475;988
España;Samoa;31/12/2020;0;0;0
España;San Cristóbal y Nieves;31/12/2020;0;0;0
España;San Marino;31/12/2020;0;0;0
España;San Vicente y Granadinas;31/12/2020;0;0;0
España;Santa Lucía;31/12/2020;1;1;0
España;Santo Tomé y Príncipe;31/12/2020;2;1;1
España;Senegal;31/12/2020;44;32;12
España;Serbia;31/12/2020;67;21;46
España;Seychelles;31/12/2020;3;2;1
España;Sierra Leona;31/12/2020;4;3;1
España;Singapur;31/12/2020;19;7;12
España;Siria;31/12/2020;66;48;18
España;Somalia;31/12/2020;3;2;1
España;Sri Lanka;31/12/2020;16;11;5
España;Suazilandia;31/12/2020;0;0;0
España;Sudáfrica;31/12/2020;72;23;49
España;Sudán;31/12/2020;14;9;5
España;Surinam;31/12/2020;0;0;0
España;Tailandia;31/12/2020;44;20;24
España;Taiwán;31/12/2020;383;179;204
España;Tanzania;31/12/2020;37;26;11
España;Tayikistán;31/12/2020;3;1;2
España;Togo;31/12/2020;5;3;2
España;Trinidad y Tobago;31/12/2020;15;3;12
España;Túnez;31/12/2020;216;117;99
España;Turkmenistán;31/12/2020;6;5;1
España;Turquía;31/12/2020;267;116;151
España;Ucrania;31/12/2020;522;160;362
España;Uganda;31/12/2020;21;15;6
España;Uruguay;31/12/2020;161;87;74
España;Uzbekistán;31/12/2020;19;13;6
España;Vanuatu;31/12/2020;1;0;1
España;Venezuela;31/12/2020;1028;431;597
España;Vietnam;31/12/2020;155;57;98
España;Yemen;31/12/2020;6;5;1
España;Yibuti;31/12/2020;4;3;1
España;Zambia;31/12/2020;8;5;3
España;Zimbabue;31/12/2020;18;3;15
España;Todas las nacionalidades;31/12/2019;1629273;697975;931298
España;Afganistán;31/12/2019;10;7;3
España;Albania;31/12/2019;100;42;58
España;Andorra;31/12/2019;65;29;36
España;Angola;31/12/2019;66;35;31
España;Antigua y Barbuda;31/12/2019;7;1;6
España;Arabia Saudí;31/12/2019;161;116;45
España;Argelia;31/12/2019;455;299;156
España;Argentina;31/12/2019;1459;606;853
España;Armenia;31/12/2019;39;16;23
España;Australia;31/12/2019;244;128;116
España;Azerbaiyán;31/12/2019;82;55;27
España;Bahamas;31/12/2019;12;4;8
España;Bahrein;31/12/2019;15;13;2
España;Bangladés;31/12/2019;51;35;16
España;Barbados;31/12/2019;5;0;5
España;Belice;31/12/2019;4;1;3
España;Benín;31/12/2019;10;10;0
España;Bielorrusia;31/12/2019;107;29;78
España;Bolivia;31/12/2019;888;369;519
España;Bosnia-Herzegovina;31/12/2019;24;9;15
España;Botsuana;31/12/2019;5;2;3
España;Brasil;31/12/2019;1806;762;1044
España;Brunei;31/12/2019;0;0;0
España;Burkina Faso;31/12/2019;7;6;1
España;Burundi;31/12/2019;12;10;2
España;Bután;31/12/2019;5;3;2
España;Cabo Verde;31/12/2019;30;14;16
España;Camboya;31/12/2019;3;1;2
España;Camerún;31/12/2019;120;70;50
España;Canadá;31/12/2019;449;164;285
España;Chad;31/12/2019;1;1;0
España;Chile;31/12/2019;1989;912;1077
España;China;31/12/2019;8068;2843;5225
España;Colombia;31/12/2019;4983;2068;2915
España;Comores;31/12/2019;1;1;0
España;Congo;31/12/2019;7;0;7
España;Corea del Norte;31/12/2019;10;10;0
España;Corea del Sur;31/12/2019;925;420;505
España;Costa de Marfil;31/12/2019;42;33;9
España;Costa Rica;31/12/2019;469;202;267
España;Cuba;31/12/2019;940;451;489
España;Dominica;31/12/2019;2;2;0
España;Ecuador;31/12/2019;3375;1553;1822
España;Egipto;31/12/2019;421;289;132
España;El Salvador;31/12/2019;426;215;211
España;Emiratos Árabes Unidos;31/12/2019;9;7;2
España;Eritrea;31/12/2019;0;0;0
España;Estados Unidos;31/12/2019;6754;2263;4491
España;Etiopía;31/12/2019;28;18;10
España;Filipinas;31/12/2019;513;176;337
España;Fiyi;31/12/2019;1;1;0
España;Gabón;31/12/2019;11;5;6
España;Gambia;31/12/2019;16;14;2
España;Georgia;31/12/2019;145;71;74
España;Ghana;31/12/2019;83;42;41
España;Granada;31/12/2019;2;1;1
España;Guatemala;31/12/2019;387;168;219
España;Guinea;31/12/2019;6;3;3
España;Guinea Bissau;31/12/2019;2;2;0
España;Guinea Ecuatorial;31/12/2019;686;315;371
España;Guyana;31/12/2019;1;1;0
España;Haití;31/12/2019;56;36;20
España;Honduras;31/12/2019;573;234;339
España;India;31/12/2019;1084;756;328
España;Indonesia;31/12/2019;147;95;52
España;Irak;31/12/2019;100;83;17
España;Irán;31/12/2019;556;271;285
España;Islas Salomón;31/12/2019;0;0;0
España;Israel;31/12/2019;92;59;33
España;Jamaica;31/12/2019;30;7;23
España;Japón;31/12/2019;846;401;445
España;Jordania;31/12/2019;234;135;99
España;Kazajistán;31/12/2019;450;182;268
España;Kenia;31/12/2019;89;39;50
España;Kirguistán;31/12/2019;55;24;31
España;Kuwait;31/12/2019;18;15;3
España;Laos;31/12/2019;1;1;0
España;Lesoto;31/12/2019;1;1;0
España;Líbano;31/12/2019;374;244;130
España;Liberia;31/12/2019;5;3;2
España;Libia;31/12/2019;130;100;30
España;Macedonia;31/12/2019;23;8;15
España;Madagascar;31/12/2019;12;6;6
España;Malasia;31/12/2019;66;35;31
España;Malaui;31/12/2019;8;4;4
España;Maldivas;31/12/2019;15;11;4
España;Mali;31/12/2019;24;18;6
España;Marruecos;31/12/2019;2664;1367;1297
España;Mauricio;31/12/2019;9;5;4
España;Mauritania;31/12/2019;40;30;10
España;México;31/12/2019;2854;1247;1607
España;Micronesia;31/12/2019;0;0;0
España;Moldavia;31/12/2019;10;1;9
España;Mónaco;31/12/2019;2;0;2
España;Mongolia;31/12/2019;5;1;4
España;Montenegro;31/12/2019;22;12;10
España;Mozambique;31/12/2019;33;21;12
España;Myanmar;31/12/2019;7;2;5
España;Namibia;31/12/2019;9;4;5
España;Nepal;31/12/2019;43;26;17
España;Nicaragua;31/12/2019;234;128;106
España;Níger;31/12/2019;4;3;1
España;Nigeria;31/12/2019;96;50;46
España;Nueva Zelanda;31/12/2019;43;16;27
España;Oceanía (No consta país);31/12/2019;0;0;0
España;Omán;31/12/2019;39;38;1
España;Pakistán;31/12/2019;130;97;33
España;Palestina;31/12/2019;61;37;24
España;Panamá;31/12/2019;495;217;278
España;Papúa Nueva Guinea;31/12/2019;0;0;0
España;Paraguay;31/12/2019;203;81;122
España;Perú;31/12/2019;2781;1118;1663
España;Qatar;31/12/2019;10;10;0
España;Reino Unido;31/12/2019;0;0;0
España;Rep. Centroafricana;31/12/2019;2;2;0
España;Rep. Dem. del Congo;31/12/2019;51;38;13
España;República Dominicana;31/12/2019;1078;345;733
España;Ruanda;31/12/2019;6;4;2
España;Rusia;31/12/2019;1653;533;1120
España;Samoa;31/12/2019;0;0;0
España;San Cristóbal y Nieves;31/12/2019;1;0;1
España;San Marino;31/12/2019;0;0;0
España;San Vicente y Granadinas;31/12/2019;0;0;0
España;Santa Lucía;31/12/2019;3;1;2
España;Santo Tomé y Príncipe;31/12/2019;3;2;1
España;Senegal;31/12/2019;68;43;25
España;Serbia;31/12/2019;106;39;67
España;Seychelles;31/12/2019;4;3;1
España;Sierra Leona;31/12/2019;7;6;1
España;Singapur;31/12/2019;31;12;19
España;Siria;31/12/2019;98;67;31
España;Somalia;31/12/2019;3;1;2
España;Sri Lanka;31/12/2019;12;8;4
España;Suazilandia;31/12/2019;2;0;2
España;Sudáfrica;31/12/2019;123;48;75
España;Sudán;31/12/2019;22;11;11
España;Surinam;31/12/2019;0;0;0
España;Tailandia;31/12/2019;83;44;39
